id_prod,monto_venta,region
1,575.02,Oeste
2,559.19,Este
3,303.06,Centro
4,522.69,Norte
5,275.29,Norte
6,480.31,Centro
7,411.17,Centro
8,390.51,Este
9,745.32,Oeste
10,226.25,Centro
11,433.83,Norte
12,379.14,Centro
13,500.54,Este
14,548.14,Centro
15,296.75,Sur
16,496.79,Centro
17,443.63,Sur
18,683.41,Sur
19,570.25,Oeste
20,603.55,Oeste
21,613.33,Norte
22,393.26,Oeste
23,465.78,Sur
24,303.16,Sur
25,659.58,Norte
26,514.16,Este
27,452.53,Centro
28,334.9,Oeste
29,193.07,Oeste
30,624.61,Este
31,695.95,Sur
32,320.57,Oeste
33,642.21,Sur
34,375.51,Oeste
35,541.17,Este
36,221.64,Oeste
37,459.73,Centro
38,429.65,Norte
39,560.17,Centro
40,513.5,Oeste
41,210.17,Este
42,662.11,Norte
43,547.41,Centro
44,296.74,Centro
45,595.88,Oeste
46,401.37,Oeste
47,305.51,Sur
48,776.82,Norte
49,402.35,Centro
50,515.08,Oeste
51,458.04,Centro
52,510.11,Este
53,735.31,Norte
54,483.97,Oeste
55,622.33,Este
56,408.33,Norte
57,608.28,Sur
58,338.54,Este
59,350.21,Norte
60,293.09,Norte
61,533.58,Norte
62,303.33,Norte
63,615.18,Centro
64,691.59,Oeste
65,614.33,Centro
66,885.66,Centro
67,390.14,Norte
68,297.73,Centro
69,429.15,Norte
70,478.66,Oeste
71,373.81,Oeste
72,400.42,Sur
73,507.38,Centro
74,288.04,Oeste
75,179.8,Este
76,200.57,Sur
77,443.06,Centro
78,785.08,Centro
79,292.53,Norte
80,466.03,Centro
81,558.21,Este
82,437.37,Oeste
83,557.58,Sur
84,483.46,Centro
85,387.35,Sur
86,530.29,Centro
87,443.46,Norte
88,445.38,Oeste
89,605.78,Sur
90,565.21,Sur
91,594.83,Sur
92,404.16,Oeste
93,688.74,Norte
94,366.08,Este
95,532.68,Este
96,708.34,Oeste
97,591.31,Oeste
98,454.96,Norte
99,597.18,Este
100,268.32,Norte
101,525.4,Sur
102,860.3,Sur
103,677.62,Centro
104,261.52,Este
105,460.62,Sur
106,560.45,Oeste
107,337.32,Este
108,367.79,Centro
109,513.0,Oeste
110,593.79,Centro
111,515.78,Este
112,250.28,Oeste
113,634.46,Norte
114,715.56,Norte
115,369.63,Este
116,560.03,Norte
117,594.88,Norte
118,143.91,Oeste
119,475.01,Centro
120,432.56,Centro
121,588.22,Centro
122,562.75,Centro
123,452.99,Centro
124,646.38,Norte
125,376.98,Centro
126,503.49,Sur
127,403.18,Norte
128,571.79,Este
129,575.25,Este
130,547.43,Oeste
131,886.64,Sur
132,297.16,Norte
133,534.71,Este
134,674.93,Sur
135,391.36,Este
136,490.06,Centro
137,604.33,Centro
138,559.05,Norte
139,549.69,Centro
140,633.87,Norte
141,555.07,Sur
142,516.92,Oeste
143,616.37,Norte
144,579.82,Centro
145,696.13,Centro
146,726.89,Este
147,536.26,Este
148,186.19,Norte
149,293.59,Sur
150,645.22,Este
151,567.53,Centro
152,388.72,Centro
153,188.04,Oeste
154,392.96,Este
155,451.97,Sur
156,442.6,Centro
157,606.33,Centro
158,509.44,Centro
159,394.99,Centro
160,491.23,Oeste
161,459.36,Este
162,648.52,Este
163,555.3,Centro
164,256.98,Sur
165,623.74,Oeste
166,532.69,Norte
167,696.04,Este
168,444.54,Este
169,547.33,Norte
170,354.82,Centro
171,689.9,Norte
172,262.52,Centro
173,687.29,Este
174,459.7,Este
175,416.18,Oeste
176,614.73,Centro
177,667.23,Centro
178,349.35,Oeste
179,554.49,Este
180,350.17,Sur
181,454.74,Norte
182,541.61,Norte
183,584.62,Centro
184,431.02,Norte
185,465.57,Sur
186,663.31,Sur
187,524.42,Este
188,636.38,Centro
189,756.33,Sur
190,501.8,Norte
191,685.52,Este
192,632.79,Centro
193,422.88,Centro
194,391.82,Norte
195,487.64,Oeste
196,620.68,Norte
197,609.38,Este
198,291.99,Sur
199,442.16,Norte
200,421.47,Norte
201,754.39,Sur
202,718.74,Sur
203,595.63,Norte
204,637.43,Oeste
205,519.05,Oeste
206,380.62,Este
207,578.66,Sur
208,392.89,Este
209,529.44,Norte
210,598.88,Norte
211,210.19,Este
212,321.64,Centro
213,531.59,Sur
214,447.53,Centro
215,550.38,Este
216,528.23,Centro
217,585.95,Centro
218,201.77,Norte
219,560.72,Sur
220,645.24,Centro
221,470.01,Sur
222,356.04,Norte
223,564.2,Norte
224,414.38,Centro
225,209.61,Sur
226,547.48,Oeste
227,587.46,Oeste
228,544.6,Sur
229,573.16,Oeste
230,375.05,Este
231,661.17,Oeste
232,455.52,Oeste
233,445.06,Oeste
234,694.91,Oeste
235,626.78,Centro
236,531.11,Este
237,422.97,Oeste
238,706.55,Centro
239,220.2,Sur
240,621.94,Norte
241,692.57,Este
242,466.07,Este
243,610.26,Norte
244,333.28,Este
245,544.27,Norte
246,555.74,Sur
247,476.79,Oeste
248,405.32,Oeste
249,307.27,Sur
250,584.92,Oeste
251,625.4,Centro
252,202.44,Norte
253,601.59,Sur
254,642.66,Centro
255,478.39,Norte
256,458.42,Centro
257,372.64,Sur
258,383.96,Norte
259,311.75,Centro
260,429.06,Norte
261,229.82,Sur
262,510.3,Sur
263,341.98,Este
264,566.69,Centro
265,773.79,Este
266,480.71,Sur
267,538.93,Centro
268,450.93,Este
269,579.95,Oeste
270,358.22,Oeste
271,539.26,Sur
272,650.29,Sur
273,684.45,Centro
274,304.06,Norte
275,481.87,Oeste
276,554.96,Centro
277,689.16,Norte
278,585.64,Centro
279,378.39,Este
280,297.77,Este
281,341.26,Oeste
282,333.29,Oeste
283,291.54,Norte
284,465.97,Este
285,657.23,Oeste
286,485.74,Centro
287,383.29,Norte
288,178.03,Centro
289,254.21,Este
290,333.15,Centro
291,638.3,Sur
292,720.45,Este
293,379.75,Centro
294,824.56,Este
295,818.53,Este
296,357.15,Sur
297,551.48,Norte
298,397.63,Este
299,577.21,Este
300,537.7,Norte
301,507.32,Centro
302,233.75,Oeste
303,306.19,Oeste
304,359.69,Sur
305,605.94,Este
306,230.77,Norte
307,666.73,Norte
308,405.29,Norte
309,569.64,Oeste
310,564.73,Centro
311,496.44,Oeste
312,429.9,Sur
313,493.9,Centro
314,480.42,Norte
315,644.22,Sur
316,664.98,Centro
317,503.81,Oeste
318,739.4,Oeste
319,584.2,Norte
320,533.24,Este
321,647.71,Oeste
322,697.09,Este
323,678.15,Este
324,687.98,Norte
325,544.95,Oeste
326,700.77,Centro
327,504.54,Oeste
328,620.36,Norte
329,267.18,Norte
330,409.89,Norte
331,582.44,Norte
332,422.67,Norte
333,596.08,Sur
334,682.69,Oeste
335,690.88,Centro
336,727.53,Sur
337,375.67,Norte
338,738.81,Este
339,508.84,Norte
340,423.98,Centro
341,425.13,Sur
342,443.79,Norte
343,509.44,Oeste
344,453.27,Este
345,638.8,Este
346,459.07,Sur
347,679.5,Este
348,478.67,Este
349,846.0,Norte
350,600.88,Sur
351,436.01,Norte
352,498.09,Oeste
353,556.83,Sur
354,477.08,Centro
355,627.81,Este
356,535.58,Sur
357,608.16,Centro
358,528.82,Sur
359,633.55,Centro
360,97.92,Oeste
361,746.06,Centro
362,784.86,Este
363,575.35,Sur
364,651.79,Centro
365,400.69,Norte
366,466.18,Este
367,385.39,Sur
368,389.83,Este
369,367.21,Norte
370,371.74,Sur
371,578.08,Sur
372,554.12,Centro
373,405.01,Sur
374,261.11,Centro
375,662.65,Centro
376,216.83,Este
377,238.79,Centro
378,471.95,Norte
379,428.32,Sur
380,166.56,Sur
381,755.27,Norte
382,532.93,Sur
383,535.23,Norte
384,377.63,Centro
385,608.77,Norte
386,433.71,Este
387,493.2,Este
388,398.52,Norte
389,381.48,Centro
390,478.4,Sur
391,420.77,Norte
392,548.55,Sur
393,735.89,Este
394,496.39,Oeste
395,470.6,Sur
396,682.82,Oeste
397,630.77,Sur
398,499.92,Oeste
399,878.02,Sur
400,246.77,Norte
401,493.48,Norte
402,449.81,Oeste
403,408.66,Este
404,664.56,Centro
405,543.17,Centro
406,646.7,Norte
407,560.9,Sur
408,420.24,Este
409,653.05,Norte
410,509.89,Centro
411,385.13,Norte
412,503.16,Centro
413,260.99,Este
414,513.86,Norte
415,373.78,Centro
416,639.42,Centro
417,434.05,Oeste
418,353.13,Sur
419,504.31,Norte
420,329.6,Norte
421,523.01,Este
422,715.09,Este
423,111.23,Sur
424,540.74,Centro
425,523.98,Norte
426,428.82,Oeste
427,647.8,Centro
428,516.06,Sur
429,478.18,Norte
430,662.88,Oeste
431,284.15,Centro
432,467.99,Sur
433,612.64,Norte
434,433.69,Sur
435,615.41,Sur
436,75.71,Este
437,523.58,Norte
438,588.93,Centro
439,678.96,Centro
440,600.02,Sur
441,665.19,Oeste
442,492.37,Este
443,495.17,Norte
444,652.13,Sur
445,250.46,Centro
446,470.9,Oeste
447,542.05,Centro
448,528.66,Norte
449,491.61,Oeste
450,462.68,Centro
451,339.73,Norte
452,654.02,Sur
453,580.29,Oeste
454,529.63,Este
455,538.42,Norte
456,720.91,Oeste
457,416.63,Oeste
458,664.56,Oeste
459,294.27,Centro
460,778.73,Sur
461,538.03,Este
462,344.24,Este
463,333.84,Sur
464,395.69,Centro
465,394.16,Centro
466,546.14,Este
467,797.66,Norte
468,198.32,Centro
469,450.81,Sur
470,377.64,Norte
471,444.53,Sur
472,722.1,Oeste
473,667.88,Este
474,500.57,Este
475,517.97,Este
476,788.08,Este
477,531.74,Este
478,395.85,Oeste
479,462.93,Oeste
480,614.76,Sur
481,545.38,Este
482,307.69,Este
483,269.95,Norte
484,274.14,Este
485,451.48,Oeste
486,344.57,Oeste
487,596.93,Oeste
488,708.32,Norte
489,468.94,Centro
490,146.64,Norte
491,415.26,Norte
492,573.44,Norte
493,741.27,Norte
494,866.54,Sur
495,507.63,Oeste
496,502.5,Centro
497,486.96,Este
498,805.22,Oeste
499,455.67,Centro
500,661.38,Este
501,540.76,Sur
502,265.26,Sur
503,711.14,Norte
504,440.84,Oeste
505,631.33,Oeste
506,414.8,Norte
507,173.19,Oeste
508,376.77,Centro
509,749.03,Sur
510,454.32,Norte
511,583.1,Oeste
512,952.96,Norte
513,394.44,Este
514,496.85,Norte
515,558.08,Este
516,454.55,Centro
517,554.81,Oeste
518,547.61,Oeste
519,542.49,Oeste
520,330.0,Centro
521,438.61,Este
522,333.82,Centro
523,424.88,Este
524,552.14,Oeste
525,577.25,Este
526,490.52,Norte
527,398.68,Centro
528,420.38,Oeste
529,416.45,Sur
